,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs
20933,06 - c0331 - 0390-Radha-Jayalaksh,5,nannu_brOvumani,kalyANi,bhadracala_rAmadas,"Radha,Jayalakshmi",https://www.sangeethamshare.org/svasu/UPLOADS-0201-0400/0390-Radha-Jayalakshmi/
21236,01 - C4069 - 4014-Prince_Ramavarm,3,pAhimAM_srivagIsvari,kalyANi,swAtitirunAL,Prince Ramavarma,https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4014-Prince_Ramavarma-Navarathri_Mandapam_2015//
20201,01 - c1036 - 551.PREMA_HARIHARAN,3,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,Prema Hariharan,https://www.sangeethamshare.org/tvg/UPLOADS-0401---0600/551.PREMA_HARIHARAN//
20070,01 - C0704 - 204.PADMAVATHY_NAGAR,5,amma_rAvamma_tulasamma,kalyANi,tyAgarAja,Padmavathy Nagarajan,https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/204.PADMAVATHY_NAGARAJAN//
21524,31 - C0009 - 02_Semm_Music_Academ,10,rAgam_tAnam_pallavi,kalyANi,Own/Others,Semmangudi Srinivasa Iyer,https://www.sangeethamshare.org/ranganathan/Music_Audio/Vocal/02_Semmangudi/02_Semm_Music_Academy_1956/
21492,15 - C0225 - 220-Semmangudi-Live_,11,rAgam_tAnam_pallavi,kalyANi,Own/Others,Semmangudi Srinivasa Iyer,https://www.sangeethamshare.org/muralidaran/Uploads-201-300/220-Semmangudi-Live_Concert-7//
55353,01 - C1698 - 1417-Amrutha_Venkate,1,AragimpavE_pAlAragimpavE,tODi,tyAgarAja,Amrutha Venkatesh,https://www.sangeethamshare.org/tvg/UPLOADS-1401---1600/1417-Amrutha_Venkatesh-TV_Audio//
57068,02 - C0305 - 319_ParassalaPonnamm,8,shrI_krSNam_bhaja_mAnasa,tODi,m_dIkshitar,Parassala Ponnammal,https://www.sangeethamshare.org/kasturi/UPLOADS-0201-0400/319_ParassalaPonnammal_May2008/
56350,14 - C0002 - 002_audio_of_perform,2,koluvamarEgadA_kOdaNDapANi,tODi,tyAgarAja,K Sathyanarayanan,https://www.sangeethamshare.org/sathya/002_audio_of_performance_at_Thiruvaiyaru_25Jan08//
55844,02 - C0515 - 530_TV_Ramachandran,1,ErA_nApai_inta-VARNAM,tODi,patnam_subhramanya_iyer,Trichur V Ramachandran,https://www.sangeethamshare.org/kasturi/UPLOADS-0401-0600/530_TV_Ramachandran/
57029,01 - c0466 - 1506-Semmangudi_R_Sr,4,shrI_krSNam_bhaja_mAnasa,tODi,m_dIkshitar,Semmangudi Srinivasa Iyer,https://www.sangeethamshare.org/tvg/UPLOADS-1401---1600/1506-Semmangudi_R_Srinivasa_Iyer/
56993,01 - C3814 - 3749-Komanduri_Sesha,4,sarasijanAbhamurArE,tODi,swAtitirunAL,Komanduri Seshadri,https://www.sangeethamshare.org/tvg/UPLOADS-3601---3800/3749-Komanduri_Seshadri-Vocal_TV_Audio//
56657,01 - C3278 - 3226-S_Saketharaman-,2,rAgam_tAnam_pallavi,tODi,Own/Others,S Saketharaman,https://www.sangeethamshare.org/tvg/UPLOADS-3201---3400/3226-S_Saketharaman-RTP_Thodi//
55677,07 - C0073 - 03-kunnakkudi-balamu,7,Emi_jEsitEnEmi_shrI,tODi,tyAgarAja,Kunnakudi M Balamuralikrishna,https://www.sangeethamshare.org/nagarajan/Kunnakkudi-M.Balamuralikrishna/03-kunnakkudi-balamuralikrishna//
